title,difficult,count_star,count_pass,count_commit,href
两数之和,简单,5079,"356,576","777,263",https://leetcode-cn.com/problems/two-sum
两数相加,中等,2328,"123,159","362,655",https://leetcode-cn.com/problems/add-two-numbers
无重复字符的最长子串,中等,1768,"117,898","402,134",https://leetcode-cn.com/problems/longest-substring-without-repeating-characters
寻找两个有序数组的中位数,困难,1028,"52,642","151,505",https://leetcode-cn.com/problems/median-of-two-sorted-arrays
最长回文子串,中等,850,"56,691","226,267",https://leetcode-cn.com/problems/longest-palindromic-substring
Z 字形变换,中等,286,"31,769","75,134",https://leetcode-cn.com/problems/zigzag-conversion
整数反转,简单,1005,"119,659","370,836",https://leetcode-cn.com/problems/reverse-integer
字符串转换整数 (atoi),中等,319,"41,985","247,935",https://leetcode-cn.com/problems/string-to-integer-atoi
回文数,简单,581,"104,023","186,006",https://leetcode-cn.com/problems/palindrome-number
正则表达式匹配,困难,442,"14,829","65,305",https://leetcode-cn.com/problems/regular-expression-matching
盛最多水的容器,中等,532,"43,209","78,031",https://leetcode-cn.com/problems/container-with-most-water
整数转罗马数字,中等,139,"22,640","38,462",https://leetcode-cn.com/problems/integer-to-roman
罗马数字转整数,简单,463,"59,098","102,879",https://leetcode-cn.com/problems/roman-to-integer
最长公共前缀,简单,538,"76,626","231,577",https://leetcode-cn.com/problems/longest-common-prefix
三数之和,中等,960,"52,556","237,539",https://leetcode-cn.com/problems/3sum
最接近的三数之和,中等,177,"24,178","60,122",https://leetcode-cn.com/problems/3sum-closest
电话号码的字母组合,中等,309,"23,371","47,804",https://leetcode-cn.com/problems/letter-combinations-of-a-phone-number
四数之和,中等,214,"17,795","50,772",https://leetcode-cn.com/problems/4sum
删除链表的倒数第N个节点,中等,378,"42,761","127,855",https://leetcode-cn.com/problems/remove-nth-node-from-end-of-list
有效的括号,简单,791,"71,211","188,165",https://leetcode-cn.com/problems/valid-parentheses
合并两个有序链表,简单,450,"66,010","121,675",https://leetcode-cn.com/problems/merge-two-sorted-lists
括号生成,中等,365,"21,767","31,094",https://leetcode-cn.com/problems/generate-parentheses
合并K个排序链表,困难,229,"22,232","49,036",https://leetcode-cn.com/problems/merge-k-sorted-lists
两两交换链表中的节点,中等,203,"20,906","35,155",https://leetcode-cn.com/problems/swap-nodes-in-pairs
k个一组翻转链表,困难,195,"10,510","20,550",https://leetcode-cn.com/problems/reverse-nodes-in-k-group
删除排序数组中的重复项,简单,860,"113,079","256,570",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-array
移除元素,简单,295,"53,836","98,537",https://leetcode-cn.com/problems/remove-element
实现strStr(),简单,185,"51,298","134,563",https://leetcode-cn.com/problems/implement-strstr
两数相除,中等,121,"11,968","66,289",https://leetcode-cn.com/problems/divide-two-integers
下一个排列,中等,182,"12,173","39,796",https://leetcode-cn.com/problems/next-permutation
最长有效括号,困难,220,"10,165","37,984",https://leetcode-cn.com/problems/longest-valid-parentheses
搜索旋转排序数组,中等,230,"23,272","63,643",https://leetcode-cn.com/problems/search-in-rotated-sorted-array
在排序数组中查找元素的第一个和最后一个位置,中等,127,"17,417","48,090",https://leetcode-cn.com/problems/find-first-and-last-position-of-element-in-sorted-array
搜索插入位置,简单,246,"43,734","100,993",https://leetcode-cn.com/problems/search-insert-position
有效的数独,中等,140,"23,932","45,371",https://leetcode-cn.com/problems/valid-sudoku
报数,简单,220,"29,512","59,417",https://leetcode-cn.com/problems/count-and-say
组合总和,中等,260,"17,312","26,920",https://leetcode-cn.com/problems/combination-sum
组合总和 II,中等,101,"12,101","22,056",https://leetcode-cn.com/problems/combination-sum-ii
缺失的第一个正数,困难,172,"12,702","35,976",https://leetcode-cn.com/problems/first-missing-positive
接雨水,困难,400,"13,735","31,389",https://leetcode-cn.com/problems/trapping-rain-water
字符串相乘,中等,143,"15,049","39,047",https://leetcode-cn.com/problems/multiply-strings
通配符匹配,困难,135,"5,152","23,097",https://leetcode-cn.com/problems/wildcard-matching
跳跃游戏 II,困难,182,"8,987","29,960",https://leetcode-cn.com/problems/jump-game-ii
全排列,中等,265,"23,315","33,987",https://leetcode-cn.com/problems/permutations
全排列 II,中等,95,"11,306","21,769",https://leetcode-cn.com/problems/permutations-ii
旋转图像,中等,203,"21,968","35,823",https://leetcode-cn.com/problems/rotate-image
字母异位词分组,中等,135,"15,561","28,027",https://leetcode-cn.com/problems/group-anagrams
"Pow(x, n)",中等,95,"17,109","52,478",https://leetcode-cn.com/problems/powx-n
N皇后,困难,153,"7,056","11,384",https://leetcode-cn.com/problems/n-queens
N皇后 II,困难,51,"4,922","6,760",https://leetcode-cn.com/problems/n-queens-ii
最大子序和,简单,901,"54,403","121,739",https://leetcode-cn.com/problems/maximum-subarray
螺旋矩阵,中等,147,"13,191","37,582",https://leetcode-cn.com/problems/spiral-matrix
跳跃游戏,中等,174,"16,557","47,492",https://leetcode-cn.com/problems/jump-game
合并区间,中等,114,"13,951","39,314",https://leetcode-cn.com/problems/merge-intervals
插入区间,困难,41,"4,838","14,102",https://leetcode-cn.com/problems/insert-interval
最后一个单词的长度,简单,103,"25,899","87,156",https://leetcode-cn.com/problems/length-of-last-word
螺旋矩阵 II,中等,97,"9,071","12,517",https://leetcode-cn.com/problems/spiral-matrix-ii
第k个排列,中等,77,"7,826","16,958",https://leetcode-cn.com/problems/permutation-sequence
旋转链表,中等,94,"14,102","37,268",https://leetcode-cn.com/problems/rotate-list
不同路径,中等,223,"20,079","37,293",https://leetcode-cn.com/problems/unique-paths
不同路径 II,中等,122,"11,159","35,978",https://leetcode-cn.com/problems/unique-paths-ii
最小路径和,中等,194,"14,794","24,482",https://leetcode-cn.com/problems/minimum-path-sum
有效数字,困难,28,"3,117","21,467",https://leetcode-cn.com/problems/valid-number
加一,简单,267,"50,307","130,704",https://leetcode-cn.com/problems/plus-one
二进制求和,简单,188,"23,859","49,819",https://leetcode-cn.com/problems/add-binary
文本左右对齐,困难,24,"1,900","5,117",https://leetcode-cn.com/problems/text-justification
x 的平方根,简单,157,"34,292","96,252",https://leetcode-cn.com/problems/sqrtx
爬楼梯,简单,475,"46,011","101,867",https://leetcode-cn.com/problems/climbing-stairs
简化路径,中等,44,"8,493","24,002",https://leetcode-cn.com/problems/simplify-path
编辑距离,困难,218,"6,063","12,161",https://leetcode-cn.com/problems/edit-distance
矩阵置零,中等,94,"11,307","21,371",https://leetcode-cn.com/problems/set-matrix-zeroes
搜索二维矩阵,中等,56,"9,027","26,280",https://leetcode-cn.com/problems/search-a-2d-matrix
颜色分类,中等,161,"18,076","34,774",https://leetcode-cn.com/problems/sort-colors
最小覆盖子串,困难,133,"4,934","14,271",https://leetcode-cn.com/problems/minimum-window-substring
组合,中等,117,"10,311","15,324",https://leetcode-cn.com/problems/combinations
子集,中等,232,"18,582","25,517",https://leetcode-cn.com/problems/subsets
单词搜索,中等,130,"9,630","25,834",https://leetcode-cn.com/problems/word-search
删除排序数组中的重复项 II,中等,102,"12,346","25,060",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-array-ii
搜索旋转排序数组 II,中等,38,"5,744","17,213",https://leetcode-cn.com/problems/search-in-rotated-sorted-array-ii
删除排序链表中的重复元素 II,中等,100,"9,801","24,062",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-list-ii
删除排序链表中的重复元素,简单,150,"26,031","57,113",https://leetcode-cn.com/problems/remove-duplicates-from-sorted-list
柱状图中最大的矩形,困难,167,"6,084","16,306",https://leetcode-cn.com/problems/largest-rectangle-in-histogram
最大矩形,困难,132,"3,690","8,654",https://leetcode-cn.com/problems/maximal-rectangle
分隔链表,中等,86,"7,843","16,257",https://leetcode-cn.com/problems/partition-list
扰乱字符串,困难,41,"1,916","4,675",https://leetcode-cn.com/problems/scramble-string
合并两个有序数组,简单,224,"42,976","97,739",https://leetcode-cn.com/problems/merge-sorted-array
格雷编码,中等,61,"6,208","9,620",https://leetcode-cn.com/problems/gray-code
子集 II,中等,82,"6,549","12,106",https://leetcode-cn.com/problems/subsets-ii
解码方法,中等,121,"7,218","35,489",https://leetcode-cn.com/problems/decode-ways
反转链表 II,中等,131,"9,895","22,834",https://leetcode-cn.com/problems/reverse-linked-list-ii
复原IP地址,中等,89,"7,746","17,593",https://leetcode-cn.com/problems/restore-ip-addresses
二叉树的中序遍历,中等,187,"30,168","46,180",https://leetcode-cn.com/problems/binary-tree-inorder-traversal
不同的二叉搜索树 II,中等,125,"5,112","9,457",https://leetcode-cn.com/problems/unique-binary-search-trees-ii
不同的二叉搜索树,中等,140,"7,754","12,983",https://leetcode-cn.com/problems/unique-binary-search-trees
交错字符串,困难,65,"2,788","7,537",https://leetcode-cn.com/problems/interleaving-string
验证二叉搜索树,中等,182,"21,560","84,249",https://leetcode-cn.com/problems/validate-binary-search-tree
恢复二叉搜索树,困难,67,"3,026","5,685",https://leetcode-cn.com/problems/recover-binary-search-tree
相同的树,简单,171,"21,820","41,493",https://leetcode-cn.com/problems/same-tree
对称二叉树,简单,327,"31,261","67,545",https://leetcode-cn.com/problems/symmetric-tree
二叉树的层次遍历,中等,197,"24,559","44,207",https://leetcode-cn.com/problems/binary-tree-level-order-traversal
二叉树的锯齿形层次遍历,中等,55,"10,166","20,779",https://leetcode-cn.com/problems/binary-tree-zigzag-level-order-traversal
二叉树的最大深度,简单,265,"44,409","64,501",https://leetcode-cn.com/problems/maximum-depth-of-binary-tree
从前序与中序遍历序列构造二叉树,中等,147,"12,208","21,211",https://leetcode-cn.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
从中序与后序遍历序列构造二叉树,中等,75,"7,455","12,393",https://leetcode-cn.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal
二叉树的层次遍历 II,简单,90,"14,718","24,546",https://leetcode-cn.com/problems/binary-tree-level-order-traversal-ii
将有序数组转换为二叉搜索树,简单,174,"18,243","28,994",https://leetcode-cn.com/problems/convert-sorted-array-to-binary-search-tree
有序链表转换二叉搜索树,中等,65,"5,668","8,675",https://leetcode-cn.com/problems/convert-sorted-list-to-binary-search-tree
平衡二叉树,简单,104,"16,039","33,934",https://leetcode-cn.com/problems/balanced-binary-tree
二叉树的最小深度,简单,107,"16,836","43,877",https://leetcode-cn.com/problems/minimum-depth-of-binary-tree
路径总和,简单,134,"16,774","36,419",https://leetcode-cn.com/problems/path-sum
二叉树展开为链表,中等,105,"6,342","10,567",https://leetcode-cn.com/problems/flatten-binary-tree-to-linked-list
不同的子序列,困难,64,"2,515","5,833",https://leetcode-cn.com/problems/distinct-subsequences
填充每个节点的下一个右侧节点指针,中等,63,"8,158","20,837",https://leetcode-cn.com/problems/populating-next-right-pointers-in-each-node
填充每个节点的下一个右侧节点指针 II,中等,46,"4,789","13,498",https://leetcode-cn.com/problems/populating-next-right-pointers-in-each-node-ii
杨辉三角,简单,150,"22,405","36,252",https://leetcode-cn.com/problems/pascals-triangle
杨辉三角 II,简单,66,"13,999","25,207",https://leetcode-cn.com/problems/pascals-triangle-ii
三角形最小路径和,中等,153,"11,716","19,849",https://leetcode-cn.com/problems/triangle
买卖股票的最佳时机,简单,394,"43,580","88,122",https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock
买卖股票的最佳时机 II,简单,371,"52,129","98,334",https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-ii
买卖股票的最佳时机 III,困难,127,"5,321","14,739",https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-iii
二叉树中的最大路径和,困难,122,"6,538","18,791",https://leetcode-cn.com/problems/binary-tree-maximum-path-sum
验证回文串,简单,80,"34,294","87,200",https://leetcode-cn.com/problems/valid-palindrome
单词接龙 II,困难,48,"1,562","6,175",https://leetcode-cn.com/problems/word-ladder-ii
单词接龙,中等,83,"5,329","15,933",https://leetcode-cn.com/problems/word-ladder
最长连续序列,困难,102,"7,188","16,653",https://leetcode-cn.com/problems/longest-consecutive-sequence
求根到叶子节点数字之和,中等,55,"5,584","9,832",https://leetcode-cn.com/problems/sum-root-to-leaf-numbers
被围绕的区域,中等,62,"4,780","13,458",https://leetcode-cn.com/problems/surrounded-regions
分割回文串,中等,105,"6,726","10,906",https://leetcode-cn.com/problems/palindrome-partitioning
分割回文串 II,困难,50,"2,183","5,817",https://leetcode-cn.com/problems/palindrome-partitioning-ii
克隆图,中等,40,"3,071","10,638",https://leetcode-cn.com/problems/clone-graph
加油站,中等,98,"6,122","13,232",https://leetcode-cn.com/problems/gas-station
分发糖果,困难,64,"3,194","8,130",https://leetcode-cn.com/problems/candy
只出现一次的数字,简单,656,"64,471","106,239",https://leetcode-cn.com/problems/single-number
只出现一次的数字 II,中等,129,"7,460","11,739",https://leetcode-cn.com/problems/single-number-ii
复制带随机指针的链表,中等,94,"6,131","20,693",https://leetcode-cn.com/problems/copy-list-with-random-pointer
单词拆分,中等,107,"8,762","21,615",https://leetcode-cn.com/problems/word-break
单词拆分 II,困难,44,"3,230","8,795",https://leetcode-cn.com/problems/word-break-ii
环形链表,简单,280,"38,604","99,274",https://leetcode-cn.com/problems/linked-list-cycle
环形链表 II,中等,159,"15,178","39,482",https://leetcode-cn.com/problems/linked-list-cycle-ii
重排链表,中等,69,"4,730","9,704",https://leetcode-cn.com/problems/reorder-list
二叉树的前序遍历,中等,106,"21,192","35,694",https://leetcode-cn.com/problems/binary-tree-preorder-traversal
二叉树的后序遍历,困难,120,"15,779","24,351",https://leetcode-cn.com/problems/binary-tree-postorder-traversal
LRU缓存机制,困难,139,"7,508","18,656",https://leetcode-cn.com/problems/lru-cache
对链表进行插入排序,中等,51,"6,186","10,844",https://leetcode-cn.com/problems/insertion-sort-list
排序链表,中等,182,"12,045","20,161",https://leetcode-cn.com/problems/sort-list
直线上最多的点数,困难,53,"2,607","15,602",https://leetcode-cn.com/problems/max-points-on-a-line
逆波兰表达式求值,中等,51,"7,860","17,953",https://leetcode-cn.com/problems/evaluate-reverse-polish-notation
翻转字符串里的单词,中等,49,"9,570","39,404",https://leetcode-cn.com/problems/reverse-words-in-a-string
乘积最大子序列,中等,170,"9,206","27,417",https://leetcode-cn.com/problems/maximum-product-subarray
寻找旋转排序数组中的最小值,中等,52,"8,849","18,046",https://leetcode-cn.com/problems/find-minimum-in-rotated-sorted-array
寻找旋转排序数组中的最小值 II,困难,35,"3,840","8,736",https://leetcode-cn.com/problems/find-minimum-in-rotated-sorted-array-ii
最小栈,简单,202,"25,074","51,736",https://leetcode-cn.com/problems/min-stack
相交链表,简单,288,"24,794","59,081",https://leetcode-cn.com/problems/intersection-of-two-linked-lists
寻找峰值,中等,52,"9,750","24,767",https://leetcode-cn.com/problems/find-peak-element
最大间距,困难,47,"2,944","5,961",https://leetcode-cn.com/problems/maximum-gap
比较版本号,中等,30,"3,189","10,888",https://leetcode-cn.com/problems/compare-version-numbers
分数到小数,中等,34,"2,674","11,480",https://leetcode-cn.com/problems/fraction-to-recurring-decimal
Excel表列名称,简单,108,"7,646","23,950",https://leetcode-cn.com/problems/excel-sheet-column-title
求众数,简单,235,"39,521","67,278",https://leetcode-cn.com/problems/majority-element
Excel表列序号,简单,61,"13,000","20,403",https://leetcode-cn.com/problems/excel-sheet-column-number
阶乘后的零,简单,116,"11,368","29,850",https://leetcode-cn.com/problems/factorial-trailing-zeroes
二叉搜索树迭代器,中等,56,"4,103","6,736",https://leetcode-cn.com/problems/binary-search-tree-iterator
地下城游戏,困难,76,"1,974","5,827",https://leetcode-cn.com/problems/dungeon-game
组合两个表,简单,358,"41,458","60,981",https://leetcode-cn.com/problems/combine-two-tables
第二高的薪水,简单,290,"29,185","96,300",https://leetcode-cn.com/problems/second-highest-salary
第N高的薪水,中等,146,"12,842","32,993",https://leetcode-cn.com/problems/nth-highest-salary
分数排名,中等,231,"12,414","23,830",https://leetcode-cn.com/problems/rank-scores
最大数,中等,104,"5,598","17,891",https://leetcode-cn.com/problems/largest-number
连续出现的数字,中等,110,"9,032","20,776",https://leetcode-cn.com/problems/consecutive-numbers
超过经理收入的员工,简单,151,"19,677","30,902",https://leetcode-cn.com/problems/employees-earning-more-than-their-managers
查找重复的电子邮箱,简单,107,"24,976","33,600",https://leetcode-cn.com/problems/duplicate-emails
从不订购的客户,简单,89,"18,621","30,832",https://leetcode-cn.com/problems/customers-who-never-order
部门工资最高的员工,中等,116,"10,928","29,677",https://leetcode-cn.com/problems/department-highest-salary
部门工资前三高的员工,困难,168,"7,375","22,538",https://leetcode-cn.com/problems/department-top-three-salaries
重复的DNA序列,中等,24,"2,862","6,847",https://leetcode-cn.com/problems/repeated-dna-sequences
买卖股票的最佳时机 IV,困难,73,"2,327","8,526",https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-iv
旋转数组,简单,279,"47,130","126,773",https://leetcode-cn.com/problems/rotate-array
颠倒二进制位,简单,67,"12,316","30,730",https://leetcode-cn.com/problems/reverse-bits
位1的个数,简单,66,"18,751","36,082",https://leetcode-cn.com/problems/number-of-1-bits
统计词频,中等,51,"3,079","10,587",https://leetcode-cn.com/problems/word-frequency
有效电话号码,简单,28,"3,541","14,441",https://leetcode-cn.com/problems/valid-phone-numbers
转置文件,中等,21,"1,661","5,143",https://leetcode-cn.com/problems/transpose-file
第十行,简单,39,"5,764","14,863",https://leetcode-cn.com/problems/tenth-line
删除重复的电子邮箱,简单,121,"12,260","23,525",https://leetcode-cn.com/problems/delete-duplicate-emails
上升的温度,简单,65,"11,058","25,635",https://leetcode-cn.com/problems/rising-temperature
打家劫舍,简单,330,"23,939","60,022",https://leetcode-cn.com/problems/house-robber
二叉树的右视图,中等,67,"4,750","8,237",https://leetcode-cn.com/problems/binary-tree-right-side-view
岛屿的个数,中等,147,"13,195","30,946",https://leetcode-cn.com/problems/number-of-islands
数字范围按位与,中等,34,"2,301","5,899",https://leetcode-cn.com/problems/bitwise-and-of-numbers-range
快乐数,简单,112,"17,204","32,565",https://leetcode-cn.com/problems/happy-number
移除链表元素,简单,228,"23,801","58,435",https://leetcode-cn.com/problems/remove-linked-list-elements
计数质数,简单,152,"16,928","61,576",https://leetcode-cn.com/problems/count-primes
同构字符串,简单,92,"10,184","23,158",https://leetcode-cn.com/problems/isomorphic-strings
反转链表,简单,420,"55,062","90,463",https://leetcode-cn.com/problems/reverse-linked-list
课程表,中等,84,"4,284","9,398",https://leetcode-cn.com/problems/course-schedule
实现 Trie (前缀树),中等,65,"6,069","10,492",https://leetcode-cn.com/problems/implement-trie-prefix-tree
长度最小的子数组,中等,95,"9,026","23,664",https://leetcode-cn.com/problems/minimum-size-subarray-sum
课程表 II,中等,34,"2,660","5,778",https://leetcode-cn.com/problems/course-schedule-ii
添加与搜索单词 - 数据结构设计,中等,45,"2,300","5,826",https://leetcode-cn.com/problems/add-and-search-word-data-structure-design
单词搜索 II,困难,34,"2,232","6,788",https://leetcode-cn.com/problems/word-search-ii
打家劫舍 II,中等,90,"5,229","15,933",https://leetcode-cn.com/problems/house-robber-ii
最短回文串,困难,49,"1,768","5,675",https://leetcode-cn.com/problems/shortest-palindrome
数组中的第K个最大元素,中等,165,"23,941","42,141",https://leetcode-cn.com/problems/kth-largest-element-in-an-array
组合总和 III,中等,45,"4,142","6,253",https://leetcode-cn.com/problems/combination-sum-iii
存在重复元素,简单,135,"54,993","114,695",https://leetcode-cn.com/problems/contains-duplicate
天际线问题,困难,36,"1,123","2,972",https://leetcode-cn.com/problems/the-skyline-problem
存在重复元素 II,简单,80,"12,908","37,769",https://leetcode-cn.com/problems/contains-duplicate-ii
存在重复元素 III,中等,60,"4,374","18,395",https://leetcode-cn.com/problems/contains-duplicate-iii
最大正方形,中等,84,"4,991","13,571",https://leetcode-cn.com/problems/maximal-square
完全二叉树的节点个数,中等,62,"3,872","8,183",https://leetcode-cn.com/problems/count-complete-tree-nodes
矩形面积,中等,22,"2,050","5,065",https://leetcode-cn.com/problems/rectangle-area
基本计算器,困难,61,"1,966","6,292",https://leetcode-cn.com/problems/basic-calculator
用队列实现栈,简单,47,"9,883","16,906",https://leetcode-cn.com/problems/implement-stack-using-queues
翻转二叉树,简单,197,"15,720","22,737",https://leetcode-cn.com/problems/invert-binary-tree
